year,valence,energy,tempo,danceability,popularity,track_count
1986,0.6057,0.6436,121.4996,0.5752,58.4867,300
1987,0.5955,0.636,120.613,0.5904,59.5467,300
1988,0.5819,0.6232,119.1569,0.5921,58.1533,300
1989,0.6076,0.6108,121.9041,0.6043,58.4967,300
1990,0.5561,0.6168,120.9354,0.5589,59.9867,600
1991,0.5506,0.6109,116.667,0.5776,61.4267,300
1992,0.5909,0.6383,122.0958,0.5829,62.2,300
1993,0.5833,0.6048,121.8321,0.6296,69.99,100
1994,0.5793,0.6281,116.7868,0.5828,64.5167,300
1995,0.5649,0.6305,121.5215,0.5991,63.8467,300
1996,0.601,0.6523,116.8173,0.6318,63.3933,300
1997,0.581,0.6462,119.3457,0.6151,64.2733,300
1998,0.5719,0.6582,116.7548,0.6263,63.9567,300
1999,0.6272,0.7061,118.8455,0.6391,65.6433,300
2000,0.5704,0.6879,115.656,0.6222,65.0533,300
2001,0.5956,0.7086,118.574,0.6165,66.25,300
2002,0.5925,0.687,117.9724,0.6248,66.1433,300
2003,0.5747,0.7138,121.0732,0.6126,65.51,300
2004,0.5852,0.7103,119.7754,0.6004,67.2742,299
2005,0.5613,0.7076,123.2826,0.6132,67.7233,300
2006,0.5381,0.7157,124.9782,0.5801,68.1967,300
2007,0.5699,0.7154,123.853,0.6125,66.9967,300
2008,0.5501,0.7006,123.806,0.6175,68.15,300
2009,0.5629,0.7192,128.7385,0.5954,67.4733,300
2010,0.545,0.73,122.7519,0.6093,69.8867,300
2011,0.4717,0.6585,125.1077,0.5772,69.31,300
2012,0.4926,0.7009,119.4569,0.5946,70.79,300
2013,0.4893,0.663,120.947,0.5932,70.8233,300
2014,0.4775,0.655,125.3973,0.6156,72.28,300
2015,0.4267,0.6222,120.5685,0.6077,73.7726,299
2016,0.4387,0.6028,121.7423,0.6314,74.204,299
2017,0.4371,0.5814,120.288,0.6461,77.1033,300
2018,0.4268,0.5835,123.2431,0.6696,76.6,300
2019,0.4489,0.5664,121.2457,0.6427,77.3433,300
2020,0.4574,0.5745,120.7092,0.6595,77.1667,300
2021,0.4844,0.6193,125.3058,0.6354,78.0562,249
2022,0.4684,0.5998,122.9554,0.6454,80.4013,299
2023,0.4874,0.6573,123.7432,0.6561,84.5833,300
